listing_id,year,month,platform,category,product_name,brand,dark_pattern_type,ccpa_category,severity_score,hidden_fee_inr,price_inflation_inr,effective_price_inr
LST00001,2021,1,Flipkart,Fashion,Peter England Men's Slim Fit Shirt,Peter England,False Scarcity,Scarcity Creation,4,0,698,740
LST00002,2021,1,Flipkart,Fashion,Global Desi Women Floral Print Top,Global Desi,Fake Countdown Timer,Urgency Creation,3,0,526,490
LST00003,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,Fake Countdown Timer,Urgency Creation,3,0,301,293
LST00007,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,Confirm Shaming,Misdirection,3,0,168,252
LST00008,2021,1,Flipkart,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,False Scarcity,Scarcity Creation,4,0,467,489
LST00010,2021,1,Flipkart,Beauty,Plum Green Tea Pore Cleansing Face Wash,Plum,False Scarcity,Scarcity Creation,4,0,297,318
LST00011,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Hidden Convenience Fee,Drip Pricing,5,81,199,449
LST00012,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,False Scarcity,Scarcity Creation,4,0,501,861
LST00013,2021,1,Flipkart,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,Forced Continuity,Subscription Trap,4,0,1276,1634
LST00014,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,Social Proof Manipulation,Social Proof Misuse,2,0,684,754
LST00016,2021,1,Flipkart,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,Inflated Original Price,Pricing Manipulation,5,0,527,530
LST00018,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,0,1577,26077
LST00019,2021,1,Flipkart,Footwear,Sparx Men's Running Sports Shoes,Sparx,Social Proof Manipulation,Social Proof Misuse,2,0,847,854
LST00020,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Hidden Convenience Fee,Drip Pricing,5,59,251,443
LST00021,2021,1,Flipkart,Footwear,Liberty Gliders Women's Bellies,Liberty,Fake Countdown Timer,Urgency Creation,3,0,860,706
LST00024,2021,1,Flipkart,Fashion,AND Women's Wrap Dress,AND,Inflated Original Price,Pricing Manipulation,5,0,1615,1398
LST00025,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Forced Continuity,Subscription Trap,4,0,298,553
LST00026,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,Forced Continuity,Subscription Trap,4,0,300,317
LST00027,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,False Scarcity,Scarcity Creation,4,0,222,273
LST00028,2021,1,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,False Scarcity,Scarcity Creation,4,0,1064,1327
LST00029,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,Hidden Convenience Fee,Drip Pricing,5,75,486,791
LST00031,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,False Scarcity,Scarcity Creation,4,0,1535,2136
LST00032,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,False Scarcity,Scarcity Creation,4,0,173,274
LST00033,2021,1,Flipkart,Electronics,Syska LED Desk Lamp,Syska,Hidden Convenience Fee,Drip Pricing,5,64,468,538
LST00034,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,False Scarcity,Scarcity Creation,4,0,662,784
LST00035,2021,1,Flipkart,Toys,NHR Carrom Board with Coins & Striker,NHR,Fake Countdown Timer,Urgency Creation,3,0,1031,812
LST00036,2021,1,Flipkart,Fashion,W Women's Printed Kurta,W,Forced Continuity,Subscription Trap,4,0,745,551
LST00037,2021,1,Flipkart,Electronics,Noise ColorFit Ultra 3 Smart Watch,Noise,Misleading Discount Badge,Pricing Manipulation,4,0,3446,1941
LST00039,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,Fake Countdown Timer,Urgency Creation,3,0,691,740
LST00041,2021,1,Flipkart,Beauty,Lakme Absolute Skin Natural Mousse Foundation,Lakme,False Scarcity,Scarcity Creation,4,0,191,554
LST00042,2021,1,Flipkart,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,Fake Countdown Timer,Urgency Creation,3,0,5325,6361
LST00043,2021,1,Flipkart,Fashion,Raymond Men's Blazer,Raymond,Social Proof Manipulation,Social Proof Misuse,2,0,3441,3631
LST00044,2021,1,Flipkart,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,Social Proof Manipulation,Social Proof Misuse,2,0,944,1218
LST00045,2021,1,Flipkart,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,False Scarcity,Scarcity Creation,4,0,363,385
LST00048,2021,1,Flipkart,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Social Proof Manipulation,Social Proof Misuse,2,0,4308,15625
LST00050,2021,1,Flipkart,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,Social Proof Manipulation,Social Proof Misuse,2,0,288,283
LST00051,2021,1,Flipkart,Toys,GiiKER Super Slide Puzzle Game,GiiKER,Forced Continuity,Subscription Trap,4,0,896,1425
LST00052,2021,1,Flipkart,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,Social Proof Manipulation,Social Proof Misuse,2,0,4870,6606
LST00053,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,False Scarcity,Scarcity Creation,4,0,384,505
LST00054,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Forced Continuity,Subscription Trap,4,0,276,310
LST00056,2021,1,Flipkart,Electronics,Portronics Mport 7C USB Hub,Portronics,Forced Continuity,Subscription Trap,4,0,594,557
LST00059,2021,1,Flipkart,Books,The Alchemist - Paulo Coelho,Paulo Coelho,Fake Countdown Timer,Urgency Creation,3,0,120,141
LST00060,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,Hidden Convenience Fee,Drip Pricing,5,68,1878,1923
LST00061,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,Social Proof Manipulation,Social Proof Misuse,2,0,473,780
LST00062,2021,1,Flipkart,Footwear,Action Men's Training Shoes,Action,Fake Countdown Timer,Urgency Creation,3,0,825,682
LST00063,2021,1,Flipkart,Fashion,Arrow Men's Formal Trousers,Arrow,False Scarcity,Scarcity Creation,4,0,1317,830
LST00064,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,False Scarcity,Scarcity Creation,4,0,142,294
LST00065,2021,1,Flipkart,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,Hidden Convenience Fee,Drip Pricing,5,86,139,224
LST00066,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,False Scarcity,Scarcity Creation,4,0,150,276
LST00067,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,0,6658,22901
LST00068,2021,1,Flipkart,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,Inflated Original Price,Pricing Manipulation,5,0,105,87
LST00069,2021,1,Flipkart,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,Forced Continuity,Subscription Trap,4,0,2723,15677
LST00070,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,Inflated Original Price,Pricing Manipulation,5,0,267,246
LST00071,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Hidden Convenience Fee,Drip Pricing,5,39,5628,24982
LST00073,2021,1,Meesho,Fashion,AND Women's Wrap Dress,AND,Forced Continuity,Subscription Trap,4,0,1585,1272
LST00074,2021,1,Meesho,Toys,Webby Wooden Push & Pull Duck Toy,Webby,False Scarcity,Scarcity Creation,4,0,333,281
LST00075,2021,1,Meesho,Books,The Alchemist - Paulo Coelho,Paulo Coelho,Fake Countdown Timer,Urgency Creation,3,0,131,137
LST00076,2021,1,Meesho,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,Confirm Shaming,Misdirection,3,0,504,543
LST00077,2021,1,Meesho,Toys,Frank Super Scientist Chemistry Set,Frank,Misleading Discount Badge,Pricing Manipulation,4,0,735,752
LST00079,2021,1,Meesho,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,0,4837,23910
