listing_id,year,month,platform,category,product_name,brand,actual_price_inr,displayed_original_price_inr,discount_pct_shown,hidden_fee_inr,effective_price_inr,dark_pattern_type,ccpa_category,severity_score,ccpa_violation,price_inflation_inr
LST00001,2021,1,Flipkart,Fashion,Peter England Men's Slim Fit Shirt,Peter England,740,1438,48.5,0,740,False Scarcity,Scarcity Creation,4,Yes,698
LST00002,2021,1,Flipkart,Fashion,Global Desi Women Floral Print Top,Global Desi,490,1016,51.8,0,490,Fake Countdown Timer,Urgency Creation,3,Yes,526
LST00003,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,293,594,50.7,0,293,Fake Countdown Timer,Urgency Creation,3,Yes,301
LST00004,2021,1,Flipkart,Beauty,mCaffeine Coffee Face Scrub,mCaffeine,336,566,40.6,0,336,None,No Violation,0,No,230
LST00005,2021,1,Flipkart,Footwear,Sparx Men's Running Sports Shoes,Sparx,811,1683,51.8,0,811,None,No Violation,0,No,872
LST00006,2021,1,Flipkart,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,7912,11063,28.5,0,7912,None,No Violation,0,No,3151
LST00007,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,252,420,40.0,0,252,Confirm Shaming,Misdirection,3,Yes,168
LST00008,2021,1,Flipkart,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,489,956,48.8,0,489,False Scarcity,Scarcity Creation,4,Yes,467
LST00009,2021,1,Flipkart,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,533,992,46.3,0,533,None,No Violation,0,No,459
LST00010,2021,1,Flipkart,Beauty,Plum Green Tea Pore Cleansing Face Wash,Plum,318,615,48.3,0,318,False Scarcity,Scarcity Creation,4,Yes,297
LST00011,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,368,567,35.1,81,449,Hidden Convenience Fee,Drip Pricing,5,Yes,199
LST00012,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,861,1362,36.8,0,861,False Scarcity,Scarcity Creation,4,Yes,501
LST00013,2021,1,Flipkart,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,1634,2910,43.8,0,1634,Forced Continuity,Subscription Trap,4,Yes,1276
LST00014,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,754,1438,47.6,0,754,Social Proof Manipulation,Social Proof Misuse,2,Yes,684
LST00015,2021,1,Flipkart,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,145,286,49.3,0,145,None,No Violation,0,No,141
LST00016,2021,1,Flipkart,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,530,1057,49.9,0,530,Inflated Original Price,Pricing Manipulation,5,Yes,527
LST00017,2021,1,Flipkart,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,133,293,54.6,0,133,None,No Violation,0,No,160
LST00018,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,26077,27654,5.7,0,26077,Social Proof Manipulation,Social Proof Misuse,2,Yes,1577
LST00019,2021,1,Flipkart,Footwear,Sparx Men's Running Sports Shoes,Sparx,854,1701,49.8,0,854,Social Proof Manipulation,Social Proof Misuse,2,Yes,847
LST00020,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,384,635,39.5,59,443,Hidden Convenience Fee,Drip Pricing,5,Yes,251
LST00021,2021,1,Flipkart,Footwear,Liberty Gliders Women's Bellies,Liberty,706,1566,54.9,0,706,Fake Countdown Timer,Urgency Creation,3,Yes,860
LST00022,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,220,533,58.7,0,220,None,No Violation,0,No,313
LST00023,2021,1,Flipkart,Mobile Phones,POCO C65 6GB+128GB,POCO,6703,11664,42.5,0,6703,None,No Violation,0,No,4961
LST00024,2021,1,Flipkart,Fashion,AND Women's Wrap Dress,AND,1398,3013,53.6,0,1398,Inflated Original Price,Pricing Manipulation,5,Yes,1615
LST00025,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,553,851,35.0,0,553,Forced Continuity,Subscription Trap,4,Yes,298
LST00026,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,317,617,48.6,0,317,Forced Continuity,Subscription Trap,4,Yes,300
LST00027,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,273,495,44.8,0,273,False Scarcity,Scarcity Creation,4,Yes,222
LST00028,2021,1,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,1327,2391,44.5,0,1327,False Scarcity,Scarcity Creation,4,Yes,1064
LST00029,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,716,1202,40.4,75,791,Hidden Convenience Fee,Drip Pricing,5,Yes,486
LST00030,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,2018,3624,44.3,0,2018,None,No Violation,0,No,1606
LST00031,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,2136,3671,41.8,0,2136,False Scarcity,Scarcity Creation,4,Yes,1535
LST00032,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,274,447,38.7,0,274,False Scarcity,Scarcity Creation,4,Yes,173
LST00033,2021,1,Flipkart,Electronics,Syska LED Desk Lamp,Syska,474,942,49.7,64,538,Hidden Convenience Fee,Drip Pricing,5,Yes,468
LST00034,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,784,1446,45.8,0,784,False Scarcity,Scarcity Creation,4,Yes,662
LST00035,2021,1,Flipkart,Toys,NHR Carrom Board with Coins & Striker,NHR,812,1843,55.9,0,812,Fake Countdown Timer,Urgency Creation,3,Yes,1031
LST00036,2021,1,Flipkart,Fashion,W Women's Printed Kurta,W,551,1296,57.5,0,551,Forced Continuity,Subscription Trap,4,Yes,745
LST00037,2021,1,Flipkart,Electronics,Noise ColorFit Ultra 3 Smart Watch,Noise,1941,5387,64.0,0,1941,Misleading Discount Badge,Pricing Manipulation,4,Yes,3446
LST00038,2021,1,Flipkart,Mobile Phones,Vivo Y56 5G 8GB+128GB,Vivo,16230,20737,21.7,0,16230,None,No Violation,0,No,4507
LST00039,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,740,1431,48.3,0,740,Fake Countdown Timer,Urgency Creation,3,Yes,691
LST00040,2021,1,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,1159,2490,53.5,0,1159,None,No Violation,0,No,1331
LST00041,2021,1,Flipkart,Beauty,Lakme Absolute Skin Natural Mousse Foundation,Lakme,554,745,25.6,0,554,False Scarcity,Scarcity Creation,4,Yes,191
LST00042,2021,1,Flipkart,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,6361,11686,45.6,0,6361,Fake Countdown Timer,Urgency Creation,3,Yes,5325
LST00043,2021,1,Flipkart,Fashion,Raymond Men's Blazer,Raymond,3631,7072,48.7,0,3631,Social Proof Manipulation,Social Proof Misuse,2,Yes,3441
LST00044,2021,1,Flipkart,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,1218,2162,43.7,0,1218,Social Proof Manipulation,Social Proof Misuse,2,Yes,944
LST00045,2021,1,Flipkart,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,385,748,48.5,0,385,False Scarcity,Scarcity Creation,4,Yes,363
LST00046,2021,1,Flipkart,Fashion,Louis Philippe Slim Fit Chinos,Louis Philippe,1396,2886,51.6,0,1396,None,No Violation,0,No,1490
LST00047,2021,1,Flipkart,Fashion,W Women's Printed Kurta,W,580,1228,52.8,0,580,None,No Violation,0,No,648
LST00048,2021,1,Flipkart,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,15625,19933,21.6,0,15625,Social Proof Manipulation,Social Proof Misuse,2,Yes,4308
LST00049,2021,1,Flipkart,Fashion,Van Heusen Men's Regular Fit T-Shirt,Van Heusen,471,1274,63.0,0,471,None,No Violation,0,No,803
LST00050,2021,1,Flipkart,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,283,571,50.4,0,283,Social Proof Manipulation,Social Proof Misuse,2,Yes,288
LST00051,2021,1,Flipkart,Toys,GiiKER Super Slide Puzzle Game,GiiKER,1425,2321,38.6,0,1425,Forced Continuity,Subscription Trap,4,Yes,896
LST00052,2021,1,Flipkart,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,6606,11476,42.4,0,6606,Social Proof Manipulation,Social Proof Misuse,2,Yes,4870
LST00053,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,505,889,43.2,0,505,False Scarcity,Scarcity Creation,4,Yes,384
LST00054,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,310,586,47.1,0,310,Forced Continuity,Subscription Trap,4,Yes,276
LST00055,2021,1,Flipkart,Beauty,Lakme Absolute Skin Natural Mousse Foundation,Lakme,476,850,44.0,0,476,None,No Violation,0,No,374
LST00056,2021,1,Flipkart,Electronics,Portronics Mport 7C USB Hub,Portronics,557,1151,51.6,0,557,Forced Continuity,Subscription Trap,4,Yes,594
LST00057,2021,1,Flipkart,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,97,193,49.7,0,97,None,No Violation,0,No,96
LST00058,2021,1,Flipkart,Books,Atomic Habits - James Clear,James Clear,276,533,48.2,0,276,None,No Violation,0,No,257
LST00059,2021,1,Flipkart,Books,The Alchemist - Paulo Coelho,Paulo Coelho,141,261,46.0,0,141,Fake Countdown Timer,Urgency Creation,3,Yes,120
LST00060,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,1855,3733,50.3,68,1923,Hidden Convenience Fee,Drip Pricing,5,Yes,1878
