listing_id,year,month,platform,category,product_name,brand,dark_pattern_type,ccpa_category,severity_score,actual_price_inr,displayed_original_price_inr,price_inflation_inr,price_inflation_pct,hidden_fee_inr,ccpa_violation,sev_norm,inf_norm,fee_norm,contrib_severity,contrib_inflation,contrib_hidden_fee,base_score,ccpa_penalty,harm_score,risk_tier
LST00001,2021,1,Flipkart,Fashion,Peter England Men's Slim Fit Shirt,Peter England,False Scarcity,Scarcity Creation,4,740,1438,698,94.3243,0,Yes,0.6666666666666666,0.38855454121765914,0.0,27.0,12.24,0.0,39.23946804835626,10.0,49.24,🟢 Low
LST00002,2021,1,Flipkart,Fashion,Global Desi Women Floral Print Top,Global Desi,Fake Countdown Timer,Urgency Creation,3,490,1016,526,107.3469,0,Yes,0.3333333333333333,0.444647704473032,0.0,13.5,14.01,0.0,27.506402690900508,10.0,37.51,🟢 Low
LST00003,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,Fake Countdown Timer,Urgency Creation,3,293,594,301,102.7304,0,Yes,0.3333333333333333,0.42476272849523733,0.0,13.5,13.38,0.0,26.880025947599975,10.0,36.88,🟢 Low
LST00007,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,Confirm Shaming,Misdirection,3,252,420,168,66.6667,0,Yes,0.3333333333333333,0.26942301049017015,0.0,13.5,8.49,0.0,21.98682483044036,10.0,31.99,🟢 Low
LST00008,2021,1,Flipkart,Home & Kitchen,Pigeon by Stovekraft 1.5L Electric Kettle,Pigeon,False Scarcity,Scarcity Creation,4,489,956,467,95.501,0,Yes,0.6666666666666666,0.393623024101461,0.0,27.0,12.4,0.0,39.399125259196026,10.0,49.4,🟢 Low
LST00010,2021,1,Flipkart,Beauty,Plum Green Tea Pore Cleansing Face Wash,Plum,False Scarcity,Scarcity Creation,4,318,615,297,93.3962,0,Yes,0.6666666666666666,0.3845568706436331,0.0,27.0,12.11,0.0,39.11354142527444,10.0,49.11,🟢 Low
LST00011,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Hidden Convenience Fee,Drip Pricing,5,368,567,199,54.0761,81,Yes,1.0,0.21519063129683724,0.675,40.5,6.78,12.15,59.42850488585037,10.0,69.43,🟠 High
LST00012,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,False Scarcity,Scarcity Creation,4,861,1362,501,58.1882,0,Yes,0.6666666666666666,0.23290296958737977,0.0,27.0,7.34,0.0,34.336443542002456,10.0,44.34,🟢 Low
LST00013,2021,1,Flipkart,Home & Kitchen,NoBroker Wooden Foldable Study Table,NoBroker,Forced Continuity,Subscription Trap,4,1634,2910,1276,78.0906,0,Yes,0.6666666666666666,0.31862998050484104,0.0,27.0,10.04,0.0,37.03684438590249,10.0,47.04,🟢 Low
LST00014,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,Social Proof Manipulation,Social Proof Misuse,2,754,1438,684,90.7162,0,Yes,0.0,0.37301311766616324,0.0,0.0,11.75,0.0,11.749913206484141,10.0,21.75,🟢 Low
LST00016,2021,1,Flipkart,Toys,Itsy Bitsy Wooden Building Blocks 50pcs,Itsy Bitsy,Inflated Original Price,Pricing Manipulation,5,530,1057,527,99.434,0,Yes,1.0,0.41056391233294937,0.0,40.5,12.93,0.0,53.43276323848791,10.0,63.43,🟡 Medium
LST00018,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,26077,27654,1577,6.0475,0,Yes,0.0,0.008313655829035297,0.0,0.0,0.26,0.0,0.26188015861461184,10.0,10.26,🟢 Low
LST00019,2021,1,Flipkart,Footwear,Sparx Men's Running Sports Shoes,Sparx,Social Proof Manipulation,Social Proof Misuse,2,854,1701,847,99.1803,0,Yes,0.0,0.4094711324335523,0.0,0.0,12.9,0.0,12.898340671656896,10.0,22.9,🟢 Low
LST00020,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Hidden Convenience Fee,Drip Pricing,5,384,635,251,65.3646,59,Yes,1.0,0.26381438334391505,0.49166666666666664,40.5,8.31,8.85,57.660153075333334,10.0,67.66,🟠 High
LST00021,2021,1,Flipkart,Footwear,Liberty Gliders Women's Bellies,Liberty,Fake Countdown Timer,Urgency Creation,3,706,1566,860,121.813,0,Yes,0.3333333333333333,0.5069585570653368,0.0,13.5,15.97,0.0,29.469194547558104,10.0,39.47,🟢 Low
LST00024,2021,1,Flipkart,Fashion,AND Women's Wrap Dress,AND,Inflated Original Price,Pricing Manipulation,5,1398,3013,1615,115.5222,0,Yes,1.0,0.47986175063598324,0.0,40.5,15.12,0.0,55.61564514503347,10.0,65.62,🟠 High
LST00025,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,Forced Continuity,Subscription Trap,4,553,851,298,53.8879,0,Yes,0.6666666666666666,0.21437998416610599,0.0,27.0,6.75,0.0,33.752969501232336,10.0,43.75,🟢 Low
LST00026,2021,1,Flipkart,Home & Kitchen,Cello Plastic Modular Drawer,Cello,Forced Continuity,Subscription Trap,4,317,617,300,94.6372,0,Yes,0.6666666666666666,0.38990231745148396,0.0,27.0,12.28,0.0,39.28192299972174,10.0,49.28,🟢 Low
LST00027,2021,1,Flipkart,Footwear,VKC Pride Women's Flip Flops,VKC,False Scarcity,Scarcity Creation,4,273,495,222,81.3187,0,Yes,0.6666666666666666,0.3325346032610241,0.0,27.0,10.47,0.0,37.47484000272225,10.0,47.47,🟢 Low
LST00028,2021,1,Flipkart,Footwear,Bata Men's Formal Lace-up Shoes,Bata,False Scarcity,Scarcity Creation,4,1327,2391,1064,80.1809,0,Yes,0.6666666666666666,0.3276336770902161,0.0,27.0,10.32,0.0,37.32046082834181,10.0,47.32,🟢 Low
LST00029,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,Hidden Convenience Fee,Drip Pricing,5,716,1202,486,67.8771,75,Yes,1.0,0.27463665176029306,0.625,40.5,8.65,11.25,60.40105453044923,10.0,70.4,🟠 High
LST00031,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,False Scarcity,Scarcity Creation,4,2136,3671,1535,71.8633,0,Yes,0.6666666666666666,0.2918066921031253,0.0,27.0,9.19,0.0,36.19191080124845,10.0,46.19,🟢 Low
LST00032,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,False Scarcity,Scarcity Creation,4,274,447,173,63.1387,0,Yes,0.6666666666666666,0.2542266073168441,0.0,27.0,8.01,0.0,35.00813813048059,10.0,45.01,🟢 Low
LST00033,2021,1,Flipkart,Electronics,Syska LED Desk Lamp,Syska,Hidden Convenience Fee,Drip Pricing,5,474,942,468,98.7342,64,Yes,1.0,0.4075496144472653,0.5333333333333333,40.5,12.84,9.6,62.937812855088865,10.0,72.94,🟠 High
LST00034,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,False Scarcity,Scarcity Creation,4,784,1446,662,84.4388,0,Yes,0.6666666666666666,0.3459740300016971,0.0,27.0,10.9,0.0,37.89818194505345,10.0,47.9,🟢 Low
LST00035,2021,1,Flipkart,Toys,NHR Carrom Board with Coins & Striker,NHR,Fake Countdown Timer,Urgency Creation,3,812,1843,1031,126.9704,0,Yes,0.3333333333333333,0.5291733897541439,0.0,13.5,16.67,0.0,30.168961777255532,10.0,40.17,🟢 Low
LST00036,2021,1,Flipkart,Fashion,W Women's Printed Kurta,W,Forced Continuity,Subscription Trap,4,551,1296,745,135.2087,0,Yes,0.6666666666666666,0.5646588002594759,0.0,27.0,17.79,0.0,44.78675220817349,10.0,54.79,🟡 Medium
LST00037,2021,1,Flipkart,Electronics,Noise ColorFit Ultra 3 Smart Watch,Noise,Misleading Discount Badge,Pricing Manipulation,4,1941,5387,3446,177.5374,0,Yes,0.6666666666666666,0.7469841945346359,0.0,27.0,23.53,0.0,50.53000212784103,10.0,60.53,🟡 Medium
LST00039,2021,1,Flipkart,Toys,Hasbro Monopoly Classic Board Game,Hasbro,Fake Countdown Timer,Urgency Creation,3,740,1431,691,93.3784,0,Yes,0.3333333333333333,0.38448019944848427,0.0,13.5,12.11,0.0,25.611126282627254,10.0,35.61,🟢 Low
LST00041,2021,1,Flipkart,Beauty,Lakme Absolute Skin Natural Mousse Foundation,Lakme,False Scarcity,Scarcity Creation,4,554,745,191,34.4765,0,Yes,0.6666666666666666,0.1307678921710095,0.0,27.0,4.12,0.0,31.1191886033868,10.0,41.12,🟢 Low
LST00042,2021,1,Flipkart,Home & Kitchen,Crompton Greaves Ozone Desert Air Cooler,Crompton,Fake Countdown Timer,Urgency Creation,3,6361,11686,5325,83.7133,0,Yes,0.3333333333333333,0.3428490326938037,0.0,13.5,10.8,0.0,24.299744529854813,10.0,34.3,🟢 Low
LST00043,2021,1,Flipkart,Fashion,Raymond Men's Blazer,Raymond,Social Proof Manipulation,Social Proof Misuse,2,3631,7072,3441,94.7673,0,Yes,0.0,0.3904627063553529,0.0,0.0,12.3,0.0,12.299575250193614,10.0,22.3,🟢 Low
LST00044,2021,1,Flipkart,Home & Kitchen,Bajaj Majesty 1000W Room Heater,Bajaj,Social Proof Manipulation,Social Proof Misuse,2,1218,2162,944,77.5041,0,Yes,0.0,0.31610370769839097,0.0,0.0,9.96,0.0,9.957266792499315,10.0,19.96,🟢 Low
LST00045,2021,1,Flipkart,Toys,Skillofun Wooden Jigsaw Puzzle,Skillofun,False Scarcity,Scarcity Creation,4,385,748,363,94.2857,0,Yes,0.6666666666666666,0.3883882767158195,0.0,27.0,12.23,0.0,39.23423071654831,10.0,49.23,🟢 Low
LST00048,2021,1,Flipkart,Mobile Phones,Motorola Moto G54 5G 8GB+256GB,Motorola,Social Proof Manipulation,Social Proof Misuse,2,15625,19933,4308,27.5712,0,Yes,0.0,0.10102420656081447,0.0,0.0,3.18,0.0,3.1822625066656554,10.0,13.18,🟢 Low
LST00050,2021,1,Flipkart,Beauty,WOW Skin Science Apple Cider Vinegar Shampoo,WOW,Social Proof Manipulation,Social Proof Misuse,2,283,571,288,101.7668,0,Yes,0.0,0.42061214626796495,0.0,0.0,13.25,0.0,13.249282607440895,10.0,23.25,🟢 Low
LST00051,2021,1,Flipkart,Toys,GiiKER Super Slide Puzzle Game,GiiKER,Forced Continuity,Subscription Trap,4,1425,2321,896,62.8772,0,Yes,0.6666666666666666,0.253100229927438,0.0,27.0,7.97,0.0,34.97265724271429,10.0,44.97,🟢 Low
LST00052,2021,1,Flipkart,Mobile Phones,Redmi 12C 4GB RAM 64GB Storage,Xiaomi,Social Proof Manipulation,Social Proof Misuse,2,6606,11476,4870,73.7209,0,Yes,0.0,0.299808063569897,0.0,0.0,9.44,0.0,9.443954002451754,10.0,19.44,🟢 Low
LST00053,2021,1,Flipkart,Beauty,Nykaa Cosmetics SKINgenius Setting Powder,Nykaa,False Scarcity,Scarcity Creation,4,505,889,384,76.0396,0,Yes,0.6666666666666666,0.30979556358066535,0.0,27.0,9.76,0.0,36.75856025279096,10.0,46.76,🟢 Low
LST00054,2021,1,Flipkart,Beauty,Sugar Cosmetics Matte Attack Lipstick,Sugar,Forced Continuity,Subscription Trap,4,310,586,276,89.0323,0,Yes,0.6666666666666666,0.3657599364576702,0.0,27.0,11.52,0.0,38.52143799841661,10.0,48.52,🟢 Low
LST00056,2021,1,Flipkart,Electronics,Portronics Mport 7C USB Hub,Portronics,Forced Continuity,Subscription Trap,4,557,1151,594,106.6427,0,Yes,0.6666666666666666,0.44161445415708633,0.0,27.0,13.91,0.0,40.91085530594822,10.0,50.91,🟡 Medium
LST00059,2021,1,Flipkart,Books,The Alchemist - Paulo Coelho,Paulo Coelho,Fake Countdown Timer,Urgency Creation,3,141,261,120,85.1064,0,Yes,0.3333333333333333,0.348849630556831,0.0,13.5,10.99,0.0,24.488763362540173,10.0,34.49,🟢 Low
LST00060,2021,1,Flipkart,Toys,LEGO Classic Creative Brick Box,LEGO,Hidden Convenience Fee,Drip Pricing,5,1855,3733,1878,101.2399,68,Yes,1.0,0.4183425927441482,0.5666666666666667,40.5,13.18,10.2,63.87779167144067,10.0,73.88,🟠 High
LST00061,2021,1,Flipkart,Electronics,Mi 10000mAh Power Bank 3i,Xiaomi,Social Proof Manipulation,Social Proof Misuse,2,780,1253,473,60.641,0,Yes,0.0,0.24346808798407307,0.0,0.0,7.67,0.0,7.669244771498302,10.0,17.67,🟢 Low
LST00062,2021,1,Flipkart,Footwear,Action Men's Training Shoes,Action,Fake Countdown Timer,Urgency Creation,3,682,1507,825,120.9677,0,Yes,0.3333333333333333,0.5033175367698683,0.0,13.5,15.85,0.0,29.35450240825085,10.0,39.35,🟢 Low
LST00063,2021,1,Flipkart,Fashion,Arrow Men's Formal Trousers,Arrow,False Scarcity,Scarcity Creation,4,830,2147,1317,158.6747,0,Yes,0.6666666666666666,0.6657355567405611,0.0,27.0,20.97,0.0,47.97067003732767,10.0,57.97,🟡 Medium
LST00064,2021,1,Flipkart,Books,Deep Work - Cal Newport,Cal Newport,False Scarcity,Scarcity Creation,4,294,436,142,48.2993,0,Yes,0.6666666666666666,0.19030781331167013,0.0,27.0,5.99,0.0,32.99469611931761,10.0,42.99,🟢 Low
LST00065,2021,1,Flipkart,Books,Think and Grow Rich - Napoleon Hill,Napoleon Hill,Hidden Convenience Fee,Drip Pricing,5,138,277,139,100.7246,86,Yes,1.0,0.4161230047182936,0.7166666666666667,40.5,13.11,12.9,66.50787464862624,10.0,76.51,🟠 High
LST00066,2021,1,Flipkart,Books,The Psychology of Money - Morgan Housel,Morgan Housel,False Scarcity,Scarcity Creation,4,276,426,150,54.3478,0,Yes,0.6666666666666666,0.216360943865486,0.0,27.0,6.82,0.0,33.81536973176281,10.0,43.82,🟢 Low
LST00067,2021,1,Flipkart,Mobile Phones,Nothing Phone (2a) 8GB+128GB,Nothing,Social Proof Manipulation,Social Proof Misuse,2,22901,29559,6658,29.073,0,Yes,0.0,0.10749301559871158,0.0,0.0,3.39,0.0,3.3860299913594143,10.0,13.39,🟢 Low
LST00068,2021,1,Flipkart,Beauty,Himalaya Herbals Purifying Neem Face Wash,Himalaya,Inflated Original Price,Pricing Manipulation,5,87,192,105,120.6897,0,Yes,1.0,0.5021200877669816,0.0,40.5,15.82,0.0,56.31678276465992,10.0,66.32,🟠 High
